gene_id	gene_name	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENSG00000155304	HSPA13	1432.488832	897.709152	992.443237	1531.150547	844.847667	620.869818
ENSG00000155307	SAMSN1	17216.240264	11164.457615	11780.371671	13450.775128	12324.863899	12917.907034
ENSG00000155313	USP25	6623.375923	5979.494799	5195.136077	3858.299171	4123.399876	3832.991844
ENSG00000156239	N6AMT1	1036.707142	1804.709713	1473.697421	795.736798	956.961159	762.813583
ENSG00000156253	RWDD2B	3199.62965	3774.160995	2882.98457	2269.306373	2888.794534	3846.033137
ENSG00000156256	USP16	2469.902517	3278.476449	2248.098846	2606.757543	2144.718958	1936.227825
ENSG00000156261	CCT8	6778.913444	8770.180556	5749.751665	6386.40955	4906.40262	5485.093607
ENSG00000156265	MAP3K7CL	7565.395294	8740.800196	8477.004773	7168.609377	5289.53437	5803.100714
ENSG00000156273	BACH1	23091.237618	20272.651174	22485.823023	18729.794789	11435.716758	15313.497893
ENSG00000156282	CLDN17	265.197067	432.309727	428.047661	527.102524	667.190459	669.01367
ENSG00000156284	CLDN8	797.028531	776.702726	230.707898	284.103393	449.511939	270.447341
ENSG00000156299	TIAM1	3654.103964	3790.179932	2450.806108	3382.215205	3741.882301	2069.426459
ENSG00000156304	SCAF4	2969.160167	2397.182629	3095.46867	2285.298564	2381.59566	2285.23229
ENSG00000157538	VPS26C	9695.031395	9340.258442	9801.990948	6889.230268	7378.406785	6655.050616
ENSG00000157540	DYRK1A	12524.291723	12391.131204	11878.161262	10223.500429	9401.06801	10706.554929
ENSG00000157542	KCNJ6	779.57265	984.672715	714.541839	523.732293	950.907494	480.748569
ENSG00000157551	KCNJ15	16559.450636	13291.984747	14442.279844	14527.428064	10198.61881	11770.398871
ENSG00000157554	ERG	7586.972142	6368.095115	7642.218292	5617.221347	6066.63742	6324.94996
ENSG00000157557	ETS2	1828.698947	1995.446655	1515.619234	1222.871078	1722.341214	1430.76164
ENSG00000157578	LCA5L	15097.445164	11129.794216	10786.333426	8854.382348	8120.442501	8702.138049
ENSG00000157601	MX1	13226.053113	12039.852306	13484.945603	12969.027953	11239.237426	9907.463406
ENSG00000157617	C2CD2	4619.929672	3808.212078	4514.725034	2769.143588	3512.205448	3418.969375
ENSG00000159055	MIS18A	1283.109689	1678.574368	1502.406764	1162.453332	1205.503014	1507.357479
ENSG00000159079	CFAP298	5225.582107	4237.951836	3883.737406	3446.080258	3662.782661	3863.106142
ENSG00000159082	SYNJ1	5380.791535	6575.340834	6009.529247	4429.182068	4619.122064	4489.448329
ENSG00000159086	PAXBP1	4190.255693	6370.54511	5229.885497	3792.936165	3659.254386	3487.741578
ENSG00000159110	IFNAR2	5741.828438	5496.013817	5463.127698	4155.161866	4045.201188	4570.25119
ENSG00000159128	IFNGR2	2497.895635	3907.822409	3138.576436	2437.941396	2285.010894	2223.500638
ENSG00000159131	GART	8887.181768	10444.804578	10064.313987	8191.116988	8144.951596	7364.957272
ENSG00000159140	SON	13544.154084	12951.117823	13559.006492	10043.078563	8742.925727	10135.666669
ENSG00000159147	DONSON	7036.609411	7270.269098	7755.460733	5773.795514	5102.702077	3889.337713
ENSG00000159197	KCNE2	459.570615	402.324387	664.405166	291.205251	310.456722	519.20627
ENSG00000159200	RCAN1	9091.356402	8523.680381	8724.070432	5684.382153	6168.065088	5962.190452
ENSG00000159212	CLIC6	599.7056	876.442077	867.127951	682.372471	760.936662	989.32217
ENSG00000159216	RUNX1	18067.040526	14875.189787	19456.09702	11767.655976	15787.26351	10215.027504
ENSG00000159228	CBR1	2946.351175	2474.791262	2402.932462	1923.385101	2400.97789	1899.016497
ENSG00000159231	CBR3	892.666739	869.85145	645.344226	353.528078	267.726166	201.343202
ENSG00000159256	MORC3	6599.360008	7721.984545	7237.870586	6496.817956	5261.148326	5093.195184
ENSG00000159259	CHAF1B	1368.662222	1036.469113	1443.698345	1291.790955	1271.892	1115.173606
ENSG00000159261	CLDN14	2651.801865	2569.213253	2862.888189	2615.460056	2858.422187	1958.090962
ENSG00000159263	SIM2	2438.342773	2705.324017	2640.971254	1450.786849	1887.905971	2407.955189
ENSG00000159267	HLCS	3701.216601	2601.269913	2780.121184	2925.84101	2874.603631	2305.145152
ENSG00000160179	ABCG1	5848.59321	5811.170188	4680.129924	4094.253571	3257.138832	3468.588168
ENSG00000160180	TFF3	2582.187534	4664.857023	2967.756543	2044.057385	2569.019372	2249.141757
ENSG00000160181	TFF2	1381.960669	2124.356643	1791.452544	1942.801906	1314.895466	1882.344885
ENSG00000160182	TFF1	512.584252	934.411356	554.432316	759.532244	578.004149	579.553664
ENSG00000160183	TMPRSS3	4877.695484	4382.723522	4229.557071	3147.059988	3118.790932	3360.951697
ENSG00000160185	UBASH3A	5715.03662	4650.405013	4722.27391	4059.73667	3124.510161	3447.565118
ENSG00000160188	RSPH1	1674.157743	1403.533315	1288.426291	968.884031	1162.076217	1136.743234
ENSG00000160190	SLC37A1	4688.851678	5388.838306	5872.559344	3907.316902	4718.110462	3547.368474
ENSG00000160191	PDE9A	14832.919334	12387.028069	15234.972313	11334.791377	10411.233449	10543.201355
ENSG00000160193	WDR4	3198.670572	3416.056664	3050.949747	2598.31836	2398.99645	2766.257095
ENSG00000160194	NDUFV3	1855.139504	2464.228906	1814.280016	1184.255336	1517.171574	1497.253282
ENSG00000160199	PKNOX1	7498.137401	6635.306548	6938.456036	5834.561427	4246.386264	4968.646468
ENSG00000160200	CBS	8173.513363	9426.61302	8173.951761	6608.444185	7043.243923	7262.935716
ENSG00000160201	U2AF1	4869.243746	6696.890865	5084.67793	4293.511424	4415.379814	4376.394193
ENSG00000160202	CRYAA	2965.820497	2121.339945	3507.336875	2604.774999	1991.490706	2215.091588
ENSG00000160207	HSF2BP	1081.153914	1167.250818	718.9718	744.646343	551.656837	955.157776
ENSG00000160208	RRP1B	737.536735	685.502908	428.096751	644.538969	973.847719	501.566569
ENSG00000160209	PDXK	12280.888787	11419.145041	11503.921624	8310.92286	8524.376688	9103.964873
ENSG00000160213	CSTB	2188.97277	1693.36657	1488.931737	1652.759672	1854.442475	1152.830654
ENSG00000160214	RRP1	2883.680021	3288.412918	2939.972426	2419.984961	3845.807245	2917.552214
ENSG00000160216	AGPAT3	12787.667425	10426.506908	10762.130366	8115.656047	9058.298388	8341.17977
ENSG00000160218	TRAPPC10	8497.518593	5698.785884	7218.162439	5062.992817	6163.506963	6055.595416
ENSG00000160221	GATD3A	7498.436688	6958.497319	8131.844477	6430.123376	6314.301517	6289.072789
ENSG00000160223	ICOSLG	2140.226451	1727.784158	2358.396628	1957.121052	1342.061522	1373.847005
ENSG00000160224	AIRE	2429.715804	2156.0126	2333.84079	2125.397375	1682.897058	1718.67664
ENSG00000160226	CFAP410	3343.685985	3929.661844	3651.951073	3128.840427	2843.972306	2187.635498
ENSG00000160233	LRRC3	219.601827	285.346854	282.521585	231.943575	330.442042	220.796602
ENSG00000160255	ITGB2	15420.057882	13364.808585	13365.346514	11777.016588	10683.588339	12096.847457
ENSG00000160256	FAM207A	3308.204622	2060.41889	2800.427424	2014.584598	2143.385437	2338.53051
ENSG00000160282	FTCD	9211.867139	9021.411915	8462.305301	7844.824895	6362.500159	6425.812941
ENSG00000160284	SPATC1L	1299.638104	1049.82164	735.339329	949.246096	681.481917	681.425168
ENSG00000160285	LSS	7498.605448	11858.35489	9278.787887	8498.847521	7655.181001	5224.572507
ENSG00000160294	MCM3AP	12092.090925	14686.488436	11676.459369	11881.384909	8564.922424	14374.665616
ENSG00000160298	C21orf58	4504.194164	4655.80369	4176.074182	4048.106131	3324.96723	3871.91636
ENSG00000160299	PCNT	3382.167753	4235.517226	4740.173689	3982.190903	3166.991741	2902.339973
ENSG00000160305	DIP2A	5292.389917	4881.54846	4263.752031	4239.873586	4367.105887	3929.675019
ENSG00000160307	S100B	1762.223109	1622.576454	1211.889673	1190.459467	1715.691688	1320.552795
ENSG00000160310	PRMT2	8017.214728	6613.559581	9157.463308	6329.296494	6968.484754	6191.463066
ENSG00000166265	CYYR1	1098.397114	914.782395	879.879362	716.092037	1223.093306	721.110888
ENSG00000166351	POTED	1212.864784	1377.049971	582.504081	1117.922886	730.047104	915.833582
ENSG00000166979	EVA1C	6693.741704	5889.79496	6786.297295	7059.461636	7264.264989	5381.099059
ENSG00000170262	MRAP	2725.307454	2746.643138	2387.671165	1761.067786	1528.723143	1682.315735
ENSG00000171189	GRIK1	3409.129638	4149.449474	3310.350631	2454.43751	2936.496966	2696.33388
ENSG00000171587	DSCAM	1021.26157	1430.694043	1227.226534	956.807448	607.473992	683.077963
ENSG00000173276	ZBTB21	5012.716773	4715.847541	5722.815108	2652.495041	3530.338253	3565.329103
ENSG00000173638	SLC19A1	6717.121897	7275.765205	7272.766507	5204.320796	4905.271059	4452.405386
ENSG00000175894	TSPEAR	2110.463642	2194.818323	1282.92965	1322.535446	1500.619182	1195.147264
ENSG00000177398	UMODL1	7476.031937	6621.735826	6119.329767	6075.920695	5903.498648	4473.631009
ENSG00000177692	DNAJC28	2160.462458	2078.508319	2500.057228	1918.432532	1622.784454	1476.49953
ENSG00000180509	KCNE1	3781.778541	3978.787998	4573.783835	2758.475922	3139.183666	4159.626635
ENSG00000180530	NRIP1	3472.668069	3751.090999	4416.666539	4006.589375	2674.647382	2608.392206
ENSG00000182093	WRB	14873.574986	16525.726891	14789.874942	11574.245392	12328.248871	12356.918763
ENSG00000182240	BACE2	10833.552849	9166.55141	13376.890455	7814.112772	7020.210966	10674.04017
ENSG00000182362	YBEY	5077.63445	5515.323647	5337.652608	4394.054525	5033.939327	4209.380002
ENSG00000182591	KRTAP11-1	579.029428	471.316932	418.990748	574.662902	290.69087	436.557862
ENSG00000182670	TTC3	17811.535846	14226.519031	18187.902638	15037.754653	16359.054852	12875.174619
ENSG00000182816	KRTAP13-2	492.46731	287.911599	380.108063	390.046815	555.423075	371.289151
ENSG00000182871	COL18A1	2718.647286	3748.816323	3234.693818	2417.513874	2467.012821	1940.122709
ENSG00000183036	PCP4	2112.269802	3250.472075	2739.117565	1947.241372	1973.738542	2455.45295
ENSG00000183067	IGSF5	1032.430951	1706.635726	1600.977343	1542.470719	1392.803617	1336.448981
ENSG00000183145	RIPPLY3	1882.54661	1804.945586	931.136233	696.926693	1000.765747	1648.127873
ENSG00000183255	PTTG1IP	4332.119997	3726.938069	4558.59697	4285.444012	4013.941719	3248.730541
ENSG00000183421	RIPK4	1010.373761	1165.866161	1047.859531	740.310544	591.038385	592.233245
ENSG00000183486	MX2	7599.488184	7663.253812	6832.476285	6850.0135	5222.416628	6218.09683
ENSG00000183527	PSMG1	2252.177	3151.626903	3466.449158	2116.244593	1748.518996	2408.991438
ENSG00000183570	PCBP3	20843.055935	21710.53601	17971.970523	16659.170879	17242.06047	11554.396819
ENSG00000183640	KRTAP8-1	572.961535	744.246802	368.494785	453.71806	959.086309	431.882615
ENSG00000183778	B3GALT5	3666.288121	2372.372385	2934.70262	1388.996087	2538.82437	2918.04082
ENSG00000183844	FAM3B	3181.231049	2862.010545	2698.639382	1785.464966	2903.486639	2204.240281
ENSG00000184012	TMPRSS2	11257.623243	12778.427441	11571.869393	12280.443057	8849.145788	11324.157095
ENSG00000184032	KRTAP20-2	1500.886975	1461.500167	866.8509	1187.977289	675.356149	907.188404
ENSG00000184221	OLIG1	2407.862917	2338.022267	2856.840046	2040.396073	1319.26475	1220.531529
ENSG00000184351	KRTAP19-1	457.46956	1115.707057	552.393497	906.898565	860.943244	647.450248
ENSG00000184724	KRTAP6-1	420.811321	1366.413608	608.914491	833.014853	790.804403	422.887004
ENSG00000184787	UBE2G2	9271.43342	8724.042636	7282.903948	7710.418394	8781.204645	8570.14412
ENSG00000184900	SUMO3	2642.742185	2296.857573	2758.229634	3182.775769	2697.801809	2533.937564
ENSG00000185272	RBM11	4748.076844	3797.978733	3100.334187	2668.526411	2510.123387	2977.185367
ENSG00000185437	SH3BGR	8475.257741	9988.846956	8283.212514	9312.612782	6831.975413	8989.06572
ENSG00000185658	BRWD1	9174.088631	9723.45603	8552.588479	7735.305681	6903.938339	6290.318908
ENSG00000185808	PIGP	4547.176016	5002.863428	4739.112909	2836.903653	3575.224842	3487.30848
ENSG00000185917	SETD4	9488.648898	8200.447758	8316.544284	7449.840094	7058.103866	7091.924625
ENSG00000186866	POFUT2	7710.86045	7636.021755	7019.492601	5741.662968	5635.975017	6684.253115
ENSG00000186924	KRTAP22-1	2593.068513	1688.676819	1886.183541	1024.50288	973.43056	1637.479628
ENSG00000186925	KRTAP19-6	862.012818	1407.880419	2789.37646	2288.771807	647.555434	1298.092258
ENSG00000186930	KRTAP6-2	1383.711611	1687.734656	1334.332618	1372.064715	1954.362908	1555.441196
ENSG00000186965	KRTAP19-2	1223.289206	1191.157177	589.903288	484.114781	770.477943	772.46844
ENSG00000186967	KRTAP19-4	2685.505815	1748.256519	1378.84266	2124.613468	2699.749509	1614.371243
ENSG00000186970	KRTAP15-1	669.043861	432.765405	321.394908	661.770848	250.459904	420.654099
ENSG00000186971	KRTAP13-4	459.355286	595.383834	985.309081	483.955909	345.377562	460.679867
ENSG00000186977	KRTAP19-5	1146.839318	744.718382	1106.269649	359.696437	1149.337232	517.737187
ENSG00000186980	KRTAP23-1	7032.061542	8238.827965	5376.773043	4414.95575	2987.212227	6255.940266
ENSG00000187005	KRTAP21-1	723.382044	528.568088	523.403385	381.906318	453.192401	272.647241
ENSG00000187026	KRTAP21-2	812.187136	473.440104	468.871762	964.522655	485.570898	1224.084587
ENSG00000187175	KRTAP12-1	484.12164	353.739309	703.904992	481.964541	548.530306	411.852371
ENSG00000187766	KRTAP10-8	981.973335	956.822314	947.414406	465.762948	369.169708	332.171328
ENSG00000188155	KRTAP10-6	657.040714	429.920612	845.053948	208.551282	263.770692	398.258089
ENSG00000188694	KRTAP24-1	495.805216	241.576319	797.302158	392.729344	465.722105	280.073205
ENSG00000188992	LIPI	1990.858525	1976.994491	2206.582971	1352.150689	1907.507044	1377.53157
ENSG00000189169	KRTAP10-12	2458.044255	2639.837085	6161.611189	1514.320653	2252.914939	2367.08609
ENSG00000197381	ADARB1	13528.438789	21624.904159	16670.924719	11549.655047	10406.675924	10430.725645
ENSG00000197683	KRTAP26-1	665.471145	388.83724	255.872066	210.055754	333.595229	334.506835
ENSG00000198390	KRTAP13-1	1053.941832	513.451138	508.412752	417.357116	593.432161	794.565099
ENSG00000198743	SLC5A3	322.404365	523.730486	691.456613	170.23626	404.141339	270.195756
ENSG00000198862	LTN1	3791.086315	3759.055587	3498.484078	2172.778734	2431.918901	2904.508397
ENSG00000205439	KRTAP12-3	803.800402	782.811015	1036.076999	1064.366866	1010.432834	539.572977
ENSG00000205445	KRTAP10-2	1644.342831	1045.815116	2273.349968	1641.423417	963.260917	701.043858
ENSG00000205581	HMGN1	11086.028651	11494.013693	12424.217557	8962.540173	8311.063892	9203.411256
ENSG00000205670	SMIM11A	2664.04338	3592.883937	2589.082985	2073.380334	2291.709782	2640.586866
ENSG00000205726	ITSN1	26482.451754	29272.067559	26746.824319	148983.224532	180962.756332	147984.339555
ENSG00000205758	CRYZL1	13275.207304	13583.602829	14649.452479	10156.073595	9030.75049	10622.599384
ENSG00000205927	OLIG2	1786.879716	1504.44139	1530.635712	998.133815	918.157724	1121.654623
ENSG00000205929	C21orf62	2089.686233	2118.138918	2086.318338	1670.612558	1280.463014	2017.531189
ENSG00000206102	KRTAP19-8	1628.53015	3169.94978	942.145435	773.080167	2446.988097	2451.850833
ENSG00000206104	KRTAP20-3	1861.361283	6063.841727	5966.255016	1469.874854	3510.68156	4687.33268
ENSG00000206105	KRTAP20-4	7438.95132	5442.227386	7143.487023	2846.356261	3668.546621	6952.836403
ENSG00000206106	KRTAP22-2	1808.380839	2210.303429	1294.709666	2694.255107	3414.118887	3419.39483
ENSG00000206107	KRTAP27-1	1109.219038	648.434953	321.040874	394.237321	416.974606	375.272098
ENSG00000212933	KRTAP12-4	1192.773762	1161.776996	1150.555965	1259.130668	356.814179	478.499929
ENSG00000212935	KRTAP10-3	423.043514	366.415715	681.83101	223.379947	354.653196	212.638578
ENSG00000212938	KRTAP6-3	460.240264	336.303004	668.946119	458.002424	389.265862	871.933848
ENSG00000215454	KRTAP10-4	1895.490355	2188.996663	1930.960521	1436.564091	978.394796	1286.689054
ENSG00000215455	KRTAP10-1	527.988955	514.49719	850.5983	313.655648	497.180401	398.100985
ENSG00000221837	KRTAP10-9	1295.778699	2094.414615	2286.403568	1377.483658	1452.47371	1623.900801
ENSG00000221859	KRTAP10-10	418.24301	386.76521	874.625407	356.271775	204.787823	277.590899
ENSG00000221864	KRTAP12-2	423.029578	775.447226	458.85902	840.426373	797.839513	239.640158
ENSG00000222018	FAM243A	555.412739	489.677011	785.808338	359.674452	326.286522	765.557233
ENSG00000231068	KRTAP21-3	3820.119607	4162.179995	3675.576352	1991.936511	2530.006652	6442.657581
ENSG00000232263	KRTAP25-1	964.746815	1261.935207	620.279022	678.702046	812.710002	484.474463
ENSG00000240432	KRTAP13-3	651.29441	529.227513	628.350563	430.180829	325.157464	409.487568
ENSG00000241123	KRTAP10-5	447.966218	654.141005	432.213288	283.856418	202.104494	270.208725
ENSG00000241837	ATP5PO	10973.091319	10113.757115	10743.440325	7254.658222	7234.841476	7882.203407
ENSG00000241945	PWP2	3228.556244	3237.640394	2724.585535	3530.543614	2632.082648	2208.934411
ENSG00000242220	TCP10L	2073.564082	2666.878433	2409.664487	2038.260559	1311.30718	1362.637531
ENSG00000243489	KRTAP10-11	658.297748	856.072874	423.81553	277.592287	296.466699	198.184777
ENSG00000243646	IL10RB	3859.254889	3556.002326	3757.977488	2635.700327	2577.332044	3057.595279
ENSG00000243927	MRPS6	2190.790963	2187.433339	2145.958059	1538.752351	1470.684902	1757.944357
ENSG00000244025	KRTAP19-3	403.953202	1314.512333	584.532108	1068.497193	607.320448	404.883436
ENSG00000244362	KRTAP19-7	972.163391	1582.128956	1175.146948	511.489287	365.334294	547.128717
ENSG00000244624	KRTAP20-1	2372.78342	5828.107273	2885.928644	4728.446705	1783.070105	2692.228158
ENSG00000249209	AP000311	483.874658	531.363215	861.914034	373.304973	484.414816	196.568945
ENSG00000249624	AP000295	1031.940816	1297.77917	1933.435564	959.412202	944.113207	975.805648
ENSG00000265590	AP000275	1113.768332	1067.982334	1274.845756	1048.110684	742.632424	884.214773
ENSG00000272804	KRTAP10-7	335.435396	321.931258	357.212261	655.871808	187.525969	280.366751
ENSG00000273590	SMIM11B	4049.20539	4704.920189	3796.622925	2384.902891	2331.63741	3700.791148
ENSG00000274276	CBSL	5943.866175	4889.927252	5902.509002	4581.908313	3219.534343	3357.664601
ENSG00000274391	TPTE	3488.459889	1835.703764	1609.722152	1677.755956	1519.227674	2196.509858
ENSG00000274559	H2BFS	1380.53677	1642.928293	1106.168674	1639.563403	1556.482801	1501.873911
ENSG00000274749	KRTAP7-1	803.958406	415.837725	620.033344	848.961215	361.927591	808.124583
ENSG00000275464	FP565260	5529.50958	6118.204267	4760.018161	4824.582392	3832.528545	4819.534095
ENSG00000275895	U2AF1L5	9089.503054	7496.451448	10116.794807	6005.268008	6108.155101	6003.45533
ENSG00000275993	SIK1B	1971.966241	2031.942898	3244.959196	2085.306459	2153.002279	1774.479136
ENSG00000276076	CRYAA2	1849.123561	2199.931711	1812.166056	1366.114763	1566.218567	1528.830139
ENSG00000276289	KCNE1B	2473.759183	1673.49733	1723.403482	1402.886954	1349.706155	1010.949149
ENSG00000276612	FP565260	499.409156	319.482851	442.117879	328.652077	671.699943	283.935114
ENSG00000277117	FP565260	2284.064114	2821.112934	3137.579306	1505.65943	1556.6907	2334.036835
ENSG00000277277	FAM243B	317.396878	378.519781	348.317557	384.184726	303.589911	279.190629
ENSG00000278961	SMIM34B	1312.555709	1917.373085	1204.565192	1638.05685	1469.560468	1851.522932
ENSG00000279493	FP565260	621.907963	500.381621	1398.301539	681.511767	402.072053	1051.94148
ENSG00000280071	GATD3B	11311.445535	8092.470571	9892.054704	6954.101942	8114.211055	7187.408401
ENSG00000280433	FP565260	824.490246	707.442541	901.639383	395.332947	850.599942	591.279613
ENSG00000285815	WRB-SH3BGR	1098.141653	1000.161894	1039.01953	834.06716	856.505662	430.821335
